Index,NAME,DATE,TAVG,TMAX,TMIN,Season
626,O'ahu,29 September 2015,69,78,63,Autumn
627,O'ahu,30 September 2015,69,78,63,Autumn
628,O'ahu,01 October 2015,70,82,63,Autumn
632,O'ahu,05 October 2015,72,85,63,Autumn
635,O'ahu,08 October 2015,68,77,63,Autumn
646,O'ahu,19 October 2015,72,83,63,Autumn
652,O'ahu,25 October 2015,68,75,63,Autumn
658,O'ahu,31 October 2015,69,77,63,Autumn
659,O'ahu,01 November 2015,69,78,63,Winter
660,O'ahu,02 November 2015,69,77,63,Winter
661,O'ahu,03 November 2015,69,80,63,Winter
666,O'ahu,08 November 2015,68,77,63,Winter
667,O'ahu,09 November 2015,67,76,63,Winter
668,O'ahu,10 November 2015,67,75,63,Winter
670,O'ahu,12 November 2015,66,73,63,Winter
671,O'ahu,13 November 2015,65,68,63,Winter
676,O'ahu,18 November 2015,69,79,63,Winter
678,O'ahu,20 November 2015,66,69,63,Winter
682,O'ahu,24 November 2015,66,68,63,Winter
831,O'ahu,23 April 2016,67,73,63,Spring
845,O'ahu,07 May 2016,65,68,63,Summer
851,O'ahu,13 May 2016,65,67,63,Summer
857,O'ahu,19 May 2016,68,76,63,Summer
858,O'ahu,20 May 2016,68,76,63,Summer
859,O'ahu,21 May 2016,68,74,63,Summer
874,O'ahu,05 June 2016,65,68,63,Summer
878,O'ahu,09 June 2016,69,78,63,Summer
879,O'ahu,10 June 2016,70,79,63,Summer
882,O'ahu,13 June 2016,69,80,63,Summer
884,O'ahu,15 June 2016,68,75,63,Summer
885,O'ahu,16 June 2016,69,76,63,Summer
886,O'ahu,17 June 2016,69,79,63,Summer
887,O'ahu,18 June 2016,69,76,63,Summer
888,O'ahu,19 June 2016,69,78,63,Summer
890,O'ahu,21 June 2016,69,77,63,Summer
891,O'ahu,22 June 2016,69,79,63,Summer
895,O'ahu,26 June 2016,70,79,63,Summer
896,O'ahu,27 June 2016,70,80,63,Summer
903,O'ahu,04 July 2016,69,77,63,Summer
904,O'ahu,05 July 2016,71,81,63,Summer
907,O'ahu,08 July 2016,71,80,63,Summer
908,O'ahu,09 July 2016,70,79,63,Summer
912,O'ahu,13 July 2016,69,78,63,Summer
918,O'ahu,19 July 2016,69,77,63,Summer
928,O'ahu,29 July 2016,71,80,63,Summer
948,O'ahu,18 August 2016,72,82,63,Autumn
951,O'ahu,21 August 2016,71,78,63,Autumn
955,O'ahu,25 August 2016,71,81,63,Autumn
957,O'ahu,27 August 2016,69,74,63,Autumn
966,O'ahu,05 September 2016,69,78,63,Autumn
967,O'ahu,06 September 2016,69,79,63,Autumn
968,O'ahu,07 September 2016,69,79,63,Autumn
970,O'ahu,09 September 2016,70,80,63,Autumn
972,O'ahu,11 September 2016,71,79,63,Autumn
980,O'ahu,19 September 2016,69,78,63,Autumn
1004,O'ahu,13 October 2016,70,79,63,Autumn
1012,O'ahu,21 October 2016,69,77,63,Autumn
1013,O'ahu,22 October 2016,68,77,63,Autumn
1014,O'ahu,23 October 2016,68,76,63,Autumn
1015,O'ahu,24 October 2016,69,79,63,Autumn
1022,O'ahu,31 October 2016,67,74,63,Autumn
1036,O'ahu,14 November 2016,69,78,63,Winter
1037,O'ahu,15 November 2016,68,78,63,Winter
1041,O'ahu,19 November 2016,68,77,63,Winter
1042,O'ahu,20 November 2016,66,72,63,Winter
1057,O'ahu,05 December 2016,65,69,63,Winter
1058,O'ahu,06 December 2016,67,74,63,Winter
1204,O'ahu,01 May 2017,67,80,63,Summer
1205,O'ahu,02 May 2017,65,71,63,Summer
1207,O'ahu,04 May 2017,70,82,63,Summer
1239,O'ahu,05 June 2017,70,81,63,Summer
1240,O'ahu,06 June 2017,69,81,63,Summer
1245,O'ahu,11 June 2017,71,80,63,Summer
1250,O'ahu,16 June 2017,68,77,63,Summer
1251,O'ahu,17 June 2017,69,78,63,Summer
1252,O'ahu,18 June 2017,67,76,63,Summer
1254,O'ahu,20 June 2017,69,78,63,Summer
1263,O'ahu,29 June 2017,69,78,63,Summer
1264,O'ahu,30 June 2017,68,78,63,Summer
1265,O'ahu,01 July 2017,68,77,63,Summer
1273,O'ahu,09 July 2017,69,78,63,Summer
1277,O'ahu,13 July 2017,71,79,63,Summer
1283,O'ahu,19 July 2017,70,83,63,Summer
1294,O'ahu,30 July 2017,70,82,63,Summer
1299,O'ahu,04 August 2017,71,78,63,Autumn
1304,O'ahu,09 August 2017,69,78,63,Autumn
1307,O'ahu,12 August 2017,71,82,63,Autumn
1308,O'ahu,13 August 2017,70,82,63,Autumn
1309,O'ahu,14 August 2017,69,79,63,Autumn
1310,O'ahu,15 August 2017,70,81,63,Autumn
1311,O'ahu,16 August 2017,70,81,63,Autumn
1322,O'ahu,27 August 2017,72,82,63,Autumn
1325,O'ahu,30 August 2017,70,80,63,Autumn
1331,O'ahu,05 September 2017,69,74,63,Autumn
1337,O'ahu,11 September 2017,68,79,63,Autumn
1343,O'ahu,17 September 2017,68,78,63,Autumn
1344,O'ahu,18 September 2017,68,77,63,Autumn
1345,O'ahu,19 September 2017,69,76,63,Autumn
1355,O'ahu,29 September 2017,68,78,63,Autumn
1359,O'ahu,03 October 2017,70,80,63,Autumn
1362,O'ahu,06 October 2017,71,83,63,Autumn
1367,O'ahu,11 October 2017,70,78,63,Autumn
1371,O'ahu,15 October 2017,67,74,63,Autumn
1375,O'ahu,19 October 2017,68,74,63,Autumn
1377,O'ahu,21 October 2017,70,82,63,Autumn
1379,O'ahu,23 October 2017,68,76,63,Autumn
1390,O'ahu,03 November 2017,71,81,63,Winter
1395,O'ahu,08 November 2017,69,78,63,Winter
1397,O'ahu,10 November 2017,71,79,63,Winter
1414,O'ahu,27 November 2017,65,68,63,Winter
1417,O'ahu,30 November 2017,66,69,63,Winter
1418,O'ahu,01 December 2017,69,79,63,Winter
1545,O'ahu,07 April 2018,67,72,63,Spring
1547,O'ahu,09 April 2018,67,72,63,Spring
1550,O'ahu,12 April 2018,69,77,63,Spring
1551,O'ahu,13 April 2018,67,75,63,Spring
1553,O'ahu,15 April 2018,67,76,63,Spring
1588,O'ahu,20 May 2018,69,79,63,Summer
1590,O'ahu,22 May 2018,68,76,63,Summer
1598,O'ahu,30 May 2018,66,71,63,Summer
1602,O'ahu,03 June 2018,70,80,63,Summer
1604,O'ahu,05 June 2018,69,78,63,Summer
1606,O'ahu,07 June 2018,70,80,63,Summer
1607,O'ahu,08 June 2018,70,77,63,Summer
1609,O'ahu,10 June 2018,69,78,63,Summer
1610,O'ahu,11 June 2018,69,77,63,Summer
1611,O'ahu,12 June 2018,67,77,63,Summer
1612,O'ahu,13 June 2018,69,78,63,Summer
1613,O'ahu,14 June 2018,68,73,63,Summer
1614,O'ahu,15 June 2018,69,81,63,Summer
1622,O'ahu,23 June 2018,69,77,63,Summer
1623,O'ahu,24 June 2018,69,79,63,Summer
1628,O'ahu,29 June 2018,69,80,63,Summer
1634,O'ahu,05 July 2018,72,86,63,Summer
1638,O'ahu,09 July 2018,68,76,63,Summer
1667,O'ahu,07 August 2018,71,85,63,Autumn
1672,O'ahu,12 August 2018,71,82,63,Autumn
1673,O'ahu,13 August 2018,70,79,63,Autumn
640,O'ahu,13 October 2015,70,78,61,Autumn
672,O'ahu,14 November 2015,65,74,61,Winter
673,O'ahu,15 November 2015,67,78,61,Winter
674,O'ahu,16 November 2015,67,75,61,Winter
675,O'ahu,17 November 2015,66,73,61,Winter
679,O'ahu,21 November 2015,67,74,61,Winter
691,O'ahu,03 December 2015,66,76,61,Winter
695,O'ahu,07 December 2015,66,75,61,Winter
699,O'ahu,11 December 2015,66,77,61,Winter
703,O'ahu,15 December 2015,65,72,61,Winter
704,O'ahu,16 December 2015,66,75,61,Winter
705,O'ahu,17 December 2015,65,73,61,Winter
711,O'ahu,23 December 2015,65,73,61,Winter
713,O'ahu,25 December 2015,67,76,61,Winter
774,O'ahu,26 February 2016,65,72,61,Spring
781,O'ahu,04 March 2016,64,69,61,Spring
792,O'ahu,15 March 2016,64,70,61,Spring
802,O'ahu,25 March 2016,65,71,61,Spring
817,O'ahu,09 April 2016,67,78,61,Spring
822,O'ahu,14 April 2016,66,76,61,Spring
824,O'ahu,16 April 2016,67,77,61,Spring
834,O'ahu,26 April 2016,68,77,61,Spring
835,O'ahu,27 April 2016,67,75,61,Spring
836,O'ahu,28 April 2016,66,76,61,Spring
838,O'ahu,30 April 2016,67,76,61,Spring
840,O'ahu,02 May 2016,69,78,61,Summer
841,O'ahu,03 May 2016,69,78,61,Summer
842,O'ahu,04 May 2016,67,77,61,Summer
844,O'ahu,06 May 2016,65,71,61,Summer
846,O'ahu,08 May 2016,66,70,61,Summer
847,O'ahu,09 May 2016,66,72,61,Summer
849,O'ahu,11 May 2016,64,68,61,Summer
854,O'ahu,16 May 2016,68,77,61,Summer
855,O'ahu,17 May 2016,68,77,61,Summer
861,O'ahu,23 May 2016,69,79,61,Summer
865,O'ahu,27 May 2016,67,76,61,Summer
873,O'ahu,04 June 2016,67,75,61,Summer
877,O'ahu,08 June 2016,66,74,61,Summer
982,O'ahu,21 September 2016,70,80,61,Autumn
1000,O'ahu,09 October 2016,68,77,61,Autumn
1007,O'ahu,16 October 2016,69,81,61,Autumn
1020,O'ahu,29 October 2016,65,71,61,Autumn
1024,O'ahu,02 November 2016,67,78,61,Winter
1027,O'ahu,05 November 2016,69,82,61,Winter
1032,O'ahu,10 November 2016,67,76,61,Winter
1039,O'ahu,17 November 2016,68,80,61,Winter
1040,O'ahu,18 November 2016,68,76,61,Winter
1044,O'ahu,22 November 2016,63,68,61,Winter
1047,O'ahu,25 November 2016,64,72,61,Winter
1049,O'ahu,27 November 2016,64,72,61,Winter
1052,O'ahu,30 November 2016,65,72,61,Winter
1056,O'ahu,04 December 2016,65,72,61,Winter
1065,O'ahu,13 December 2016,63,69,61,Winter
1070,O'ahu,18 December 2016,62,64,61,Winter
1071,O'ahu,19 December 2016,69,79,61,Winter
1076,O'ahu,24 December 2016,65,72,61,Winter
1078,O'ahu,26 December 2016,65,72,61,Winter
1107,O'ahu,24 January 2017,63,68,61,Winter
1127,O'ahu,13 February 2017,67,75,61,Spring
1131,O'ahu,17 February 2017,66,74,61,Spring
1148,O'ahu,06 March 2017,64,69,61,Spring
1154,O'ahu,12 March 2017,66,74,61,Spring
1162,O'ahu,20 March 2017,69,80,61,Spring
1173,O'ahu,31 March 2017,67,76,61,Spring
1176,O'ahu,03 April 2017,67,77,61,Spring
1177,O'ahu,04 April 2017,68,78,61,Spring
1183,O'ahu,10 April 2017,66,75,61,Spring
1192,O'ahu,19 April 2017,63,66,61,Spring
1195,O'ahu,22 April 2017,69,80,61,Spring
1196,O'ahu,23 April 2017,68,76,61,Spring
1198,O'ahu,25 April 2017,68,77,61,Spring
1200,O'ahu,27 April 2017,67,75,61,Spring
1206,O'ahu,03 May 2017,68,73,61,Summer
1208,O'ahu,05 May 2017,68,78,61,Summer
1209,O'ahu,06 May 2017,67,77,61,Summer
1211,O'ahu,08 May 2017,66,73,61,Summer
1212,O'ahu,09 May 2017,67,75,61,Summer
1214,O'ahu,11 May 2017,65,69,61,Summer
1218,O'ahu,15 May 2017,64,71,61,Summer
1225,O'ahu,22 May 2017,66,73,61,Summer
1227,O'ahu,24 May 2017,69,81,61,Summer
1228,O'ahu,25 May 2017,67,77,61,Summer
1229,O'ahu,26 May 2017,65,73,61,Summer
1296,O'ahu,01 August 2017,69,77,61,Autumn
1326,O'ahu,31 August 2017,69,80,61,Autumn
1327,O'ahu,01 September 2017,69,81,61,Autumn
1329,O'ahu,03 September 2017,66,76,61,Autumn
1334,O'ahu,08 September 2017,69,78,61,Autumn
1351,O'ahu,25 September 2017,68,76,61,Autumn
1356,O'ahu,30 September 2017,66,71,61,Autumn
1358,O'ahu,02 October 2017,66,73,61,Autumn
1364,O'ahu,08 October 2017,66,74,61,Autumn
1373,O'ahu,17 October 2017,65,73,61,Autumn
1388,O'ahu,01 November 2017,67,75,61,Winter
1402,O'ahu,15 November 2017,66,73,61,Winter
1403,O'ahu,16 November 2017,64,72,61,Winter
1435,O'ahu,18 December 2017,67,75,61,Winter
1443,O'ahu,26 December 2017,65,71,61,Winter
1461,O'ahu,13 January 2018,66,74,61,Winter
1466,O'ahu,18 January 2018,65,73,61,Winter
1469,O'ahu,21 January 2018,65,73,61,Winter
1471,O'ahu,23 January 2018,63,69,61,Winter
1483,O'ahu,04 February 2018,63,68,61,Spring
1494,O'ahu,15 February 2018,64,66,61,Spring
1501,O'ahu,22 February 2018,63,67,61,Spring
1504,O'ahu,25 February 2018,62,65,61,Spring
1505,O'ahu,26 February 2018,63,69,61,Spring
1521,O'ahu,14 March 2018,63,66,61,Spring
1523,O'ahu,16 March 2018,64,68,61,Spring
1556,O'ahu,18 April 2018,66,75,61,Spring
1561,O'ahu,23 April 2018,68,78,61,Spring
1564,O'ahu,26 April 2018,63,66,61,Spring
1572,O'ahu,04 May 2018,69,78,61,Summer
1579,O'ahu,11 May 2018,69,80,61,Summer
1587,O'ahu,19 May 2018,68,77,61,Summer
1589,O'ahu,21 May 2018,68,78,61,Summer
1591,O'ahu,23 May 2018,67,75,61,Summer
1592,O'ahu,24 May 2018,67,74,61,Summer
1595,O'ahu,27 May 2018,67,75,61,Summer
1599,O'ahu,31 May 2018,68,78,61,Summer
1600,O'ahu,01 June 2018,66,73,61,Summer
1601,O'ahu,02 June 2018,67,75,61,Summer
1616,O'ahu,17 June 2018,66,76,61,Summer
1619,O'ahu,20 June 2018,67,77,61,Summer
1620,O'ahu,21 June 2018,69,80,61,Summer
1629,O'ahu,30 June 2018,69,79,61,Summer
1630,O'ahu,01 July 2018,68,77,61,Summer
689,O'ahu,01 December 2015,67,77,60,Winter
693,O'ahu,05 December 2015,66,76,60,Winter
700,O'ahu,12 December 2015,66,75,60,Winter
707,O'ahu,19 December 2015,63,71,60,Winter
709,O'ahu,21 December 2015,63,69,60,Winter
710,O'ahu,22 December 2015,65,75,60,Winter
716,O'ahu,28 December 2015,65,73,60,Winter
718,O'ahu,30 December 2015,67,76,60,Winter
725,O'ahu,06 January 2016,64,70,60,Winter
742,O'ahu,23 January 2016,65,73,60,Winter
752,O'ahu,02 February 2016,65,72,60,Spring
767,O'ahu,17 February 2016,65,72,60,Spring
790,O'ahu,13 March 2016,64,72,60,Spring
796,O'ahu,19 March 2016,66,76,60,Spring
807,O'ahu,30 March 2016,65,70,60,Spring
811,O'ahu,03 April 2016,67,77,60,Spring
812,O'ahu,04 April 2016,66,74,60,Spring
818,O'ahu,10 April 2016,65,75,60,Spring
819,O'ahu,11 April 2016,65,74,60,Spring
820,O'ahu,12 April 2016,67,77,60,Spring
823,O'ahu,15 April 2016,67,77,60,Spring
825,O'ahu,17 April 2016,67,77,60,Spring
827,O'ahu,19 April 2016,63,69,60,Spring
837,O'ahu,29 April 2016,67,78,60,Spring
853,O'ahu,15 May 2016,67,77,60,Summer
869,O'ahu,31 May 2016,65,71,60,Summer
872,O'ahu,03 June 2016,64,70,60,Summer
881,O'ahu,12 June 2016,68,79,60,Summer
889,O'ahu,20 June 2016,70,82,60,Summer
1001,O'ahu,10 October 2016,71,83,60,Autumn
1016,O'ahu,25 October 2016,68,78,60,Autumn
1017,O'ahu,26 October 2016,70,82,60,Autumn
1025,O'ahu,03 November 2016,68,80,60,Winter
1030,O'ahu,08 November 2016,65,74,60,Winter
1033,O'ahu,11 November 2016,66,74,60,Winter
1045,O'ahu,23 November 2016,65,73,60,Winter
1048,O'ahu,26 November 2016,65,72,60,Winter
1050,O'ahu,28 November 2016,64,71,60,Winter
1051,O'ahu,29 November 2016,64,71,60,Winter
1053,O'ahu,01 December 2016,63,67,60,Winter
1060,O'ahu,08 December 2016,63,68,60,Winter
1063,O'ahu,11 December 2016,64,68,60,Winter
1064,O'ahu,12 December 2016,64,69,60,Winter
1069,O'ahu,17 December 2016,64,71,60,Winter
1073,O'ahu,21 December 2016,66,76,60,Winter
1074,O'ahu,22 December 2016,65,72,60,Winter
1077,O'ahu,25 December 2016,65,72,60,Winter
1081,O'ahu,29 December 2016,63,70,60,Winter
1097,O'ahu,14 January 2017,63,68,60,Winter
1100,O'ahu,17 January 2017,66,76,60,Winter
1104,O'ahu,21 January 2017,64,72,60,Winter
1125,O'ahu,11 February 2017,65,68,60,Spring
1132,O'ahu,18 February 2017,65,68,60,Spring
1133,O'ahu,19 February 2017,67,77,60,Spring
1144,O'ahu,02 March 2017,65,72,60,Spring
1153,O'ahu,11 March 2017,67,75,60,Spring
1160,O'ahu,18 March 2017,65,72,60,Spring
1164,O'ahu,22 March 2017,68,77,60,Spring
1168,O'ahu,26 March 2017,67,77,60,Spring
1170,O'ahu,28 March 2017,66,76,60,Spring
1171,O'ahu,29 March 2017,67,76,60,Spring
1172,O'ahu,30 March 2017,67,78,60,Spring
1174,O'ahu,01 April 2017,65,73,60,Spring
1175,O'ahu,02 April 2017,68,78,60,Spring
1178,O'ahu,05 April 2017,67,80,60,Spring
1182,O'ahu,09 April 2017,66,72,60,Spring
1184,O'ahu,11 April 2017,65,77,60,Spring
1185,O'ahu,12 April 2017,66,72,60,Spring
1186,O'ahu,13 April 2017,65,72,60,Spring
1187,O'ahu,14 April 2017,64,71,60,Spring
1199,O'ahu,26 April 2017,67,77,60,Spring
1201,O'ahu,28 April 2017,63,67,60,Spring
1210,O'ahu,07 May 2017,67,78,60,Summer
1213,O'ahu,10 May 2017,67,75,60,Summer
1215,O'ahu,12 May 2017,66,76,60,Summer
1219,O'ahu,16 May 2017,65,74,60,Summer
1220,O'ahu,17 May 2017,67,76,60,Summer
1223,O'ahu,20 May 2017,66,78,60,Summer
1231,O'ahu,28 May 2017,66,74,60,Summer
1233,O'ahu,30 May 2017,67,73,60,Summer
1243,O'ahu,09 June 2017,68,79,60,Summer
1330,O'ahu,04 September 2017,67,72,60,Autumn
1363,O'ahu,07 October 2017,66,75,60,Autumn
1384,O'ahu,28 October 2017,65,73,60,Autumn
1389,O'ahu,02 November 2017,67,75,60,Winter
1394,O'ahu,07 November 2017,66,74,60,Winter
1401,O'ahu,14 November 2017,67,77,60,Winter
1406,O'ahu,19 November 2017,64,71,60,Winter
1410,O'ahu,23 November 2017,64,72,60,Winter
1413,O'ahu,26 November 2017,63,69,60,Winter
1434,O'ahu,17 December 2017,66,71,60,Winter
1437,O'ahu,20 December 2017,62,66,60,Winter
1444,O'ahu,27 December 2017,65,72,60,Winter
1459,O'ahu,11 January 2018,65,72,60,Winter
1465,O'ahu,17 January 2018,65,75,60,Winter
1467,O'ahu,19 January 2018,64,72,60,Winter
1472,O'ahu,24 January 2018,64,70,60,Winter
1473,O'ahu,25 January 2018,62,65,60,Winter
1474,O'ahu,26 January 2018,63,69,60,Winter
1484,O'ahu,05 February 2018,63,73,60,Spring
1485,O'ahu,06 February 2018,63,71,60,Spring
1493,O'ahu,14 February 2018,63,67,60,Spring
1496,O'ahu,17 February 2018,63,73,60,Spring
1500,O'ahu,21 February 2018,64,68,60,Spring
1502,O'ahu,23 February 2018,62,65,60,Spring
1503,O'ahu,24 February 2018,62,64,60,Spring
1511,O'ahu,04 March 2018,63,71,60,Spring
1526,O'ahu,19 March 2018,64,72,60,Spring
1527,O'ahu,20 March 2018,62,66,60,Spring
1532,O'ahu,25 March 2018,64,67,60,Spring
1534,O'ahu,27 March 2018,65,71,60,Spring
1536,O'ahu,29 March 2018,66,74,60,Spring
1537,O'ahu,30 March 2018,65,71,60,Spring
1546,O'ahu,08 April 2018,66,73,60,Spring
1552,O'ahu,14 April 2018,68,78,60,Spring
1555,O'ahu,17 April 2018,66,75,60,Spring
1562,O'ahu,24 April 2018,66,72,60,Spring
1563,O'ahu,25 April 2018,67,79,60,Spring
1565,O'ahu,27 April 2018,65,71,60,Spring
1574,O'ahu,06 May 2018,66,74,60,Summer
1582,O'ahu,14 May 2018,67,79,60,Summer
1583,O'ahu,15 May 2018,67,77,60,Summer
1584,O'ahu,16 May 2018,66,72,60,Summer
1596,O'ahu,28 May 2018,67,74,60,Summer
1692,O'ahu,01 September 2018,69,77,60,Autumn
634,O'ahu,07 October 2015,66,73,62,Autumn
636,O'ahu,09 October 2015,70,78,62,Autumn
653,O'ahu,26 October 2015,69,77,62,Autumn
669,O'ahu,11 November 2015,68,77,62,Winter
687,O'ahu,29 November 2015,67,74,62,Winter
688,O'ahu,30 November 2015,67,75,62,Winter
690,O'ahu,02 December 2015,65,73,62,Winter
698,O'ahu,10 December 2015,66,76,62,Winter
702,O'ahu,14 December 2015,66,70,62,Winter
714,O'ahu,26 December 2015,66,74,62,Winter
715,O'ahu,27 December 2015,67,75,62,Winter
804,O'ahu,27 March 2016,64,71,62,Spring
810,O'ahu,02 April 2016,66,74,62,Spring
814,O'ahu,06 April 2016,67,75,62,Spring
815,O'ahu,07 April 2016,67,77,62,Spring
816,O'ahu,08 April 2016,67,75,62,Spring
821,O'ahu,13 April 2016,65,73,62,Spring
826,O'ahu,18 April 2016,67,74,62,Spring
832,O'ahu,24 April 2016,67,75,62,Spring
833,O'ahu,25 April 2016,67,76,62,Spring
839,O'ahu,01 May 2016,68,76,62,Summer
843,O'ahu,05 May 2016,66,75,62,Summer
850,O'ahu,12 May 2016,66,70,62,Summer
852,O'ahu,14 May 2016,66,71,62,Summer
856,O'ahu,18 May 2016,68,77,62,Summer
860,O'ahu,22 May 2016,68,76,62,Summer
862,O'ahu,24 May 2016,69,80,62,Summer
863,O'ahu,25 May 2016,66,74,62,Summer
864,O'ahu,26 May 2016,68,76,62,Summer
866,O'ahu,28 May 2016,65,69,62,Summer
